1	预期不能为企业带来经济利益的资源不能确认为资产是错的。
2	请问下物流公司税负率多少？老师
3	老师，两个人投资设立的有限公司，可以申请核定征收吗？如果可以，怎么申请？核定的话，是怎么交税？
4	宋老师，要是公司名下没车，停车费和过路费能入差旅费吗？
5	要打的借条到底是10元还是8元？刚才群里的老师说是8元。10元还有这种情况，就是前一任出纳每次转钱给老板时是有打借条的。中间换了人，后一任出纳没让打借条，然后又换了一个出纳，那要补的借条怎么补
6	老师，建筑业增值税税负率是3%，是什么意思呀，是按照收入的标准来算的吗？
7	@宋老师:续之前企业所得税申报的问题，请问正确的本年累计数，是以税局申报系统里面的金额为准吗？
8	请问，实操中我下载的报表excel都是受保护的，我想对表格进行编辑学习，怎么能撤销保护，密码是多少？
9	与外商投资企业发生业务外商投资企业会开发票吗
10	@邹老师:老师您看下案例题分录或许就明白了
11	老师，企业所得税第一季度亏损，第二季度盈利，申报第二季度的时候可以弥补第一季度的亏损后的利润总额来缴税吗？企业所得税是按本期数的金额还是按累计数的金额来计得缴税的？
12	老师您好！保洁公司给我们开的保洁费发票我们入管理费用哪个明细下较合适
13	开票单价大于开票限额，这样怎么开票
14	驾校的教练车二手车评估费入什么科目？
15	我想问一下，我是在代理公司做外账的。现在有一家15年的企业要注销。因为换过挺多个会计接手的，之前的会计一直有帮这个企业做租金！！问题出现在这个企业是挂靠在我们公司的，。上一年的账我是不是最好不要动？还有我应该要怎么帮这个企业调账？
16	老师好，别人在税局大厅给我们开的增值税专用发票的抵扣联丟了，怎么办，这张发票还能用吗，谢谢！
17	我公司现在有一张进项票是失控发票，现在进项税已经交了。那账的分录该怎么做
18	物业公司开票开：水电公摊的，水电费不算我们的收入，要把水电公摊的计入其他应付款吗？是水电公摊的是价税合计一并计入其他应付款，还是要把税款分出来计入应缴税费-应交增值税
19	老师，做会展咨询的小规模公司一年开票金额达到多少会成为一般纳税人
20	房产取得是2016年5月前取得的，租金采用简易征收的话，分录是：借：应收帐款，贷：主营业务收入，贷：应交税金－简易征收？
21	老师，所得税汇算清缴的税费在补交所得税后,这个税费在6月30日进行财务报表填制的时候应该填在哪里？
22	9月认证的发票，做到10月的账里，请问这样合规吗
23	出口产品需要到工商办理哪些手续
24	我们是建筑公司，收到工程款后写的是借：银行存款贷：预收账款，给对方公司开票后应该怎样上账呢
25	你好老师，小规模纳税人增值税申报一个季度的报表是哪个月份的，比如第三季度的，按哪个月的报表呢，是9月份的还是怎样
26	老师负债清偿损益明细表里无法清偿的20000元其他应付款怎么填
27	个人租汽车给公司，除了国税缴纳增值税、地税印花税等，个人租入的收入要不要交个人所得税啊？
28	你好，我开一张技术服务费的发票专票出去，分录怎么做呢
29	老师：每月末做结转期间损益，到年末12月时，是不是要把本年利润余额结转到利润分配/末分配利润？借：利润分配/未分配利润贷：本年利润
30	请问缴纳的房租到年底一次性计提全年的房租可以吗？该如何入账做分录？
31	会计做帐要准备什么帐薄之类的。谢谢，制造业的
32	速达软件，财务费用利息收入不会在汇总表中体现，导致财务费用余额不对
33	老师，公司招聘的临时工、兼职工需要签临时工协议吗？
34	办公室租金费用入什么会计科目，具体到二级科目
35	老师，我财务报表上只有3个数据；货币资金1000，其他应付款20000，未分配利润为-19000,。请问资产处置损益明细表和负债清偿损益明细表怎么填
36	老师公司一直有两个人在交社保了其他业务没有了但是2016.11月份的税忘记申报了后来在12月份罚款了200社保银行流水上也没扣那12月份的帐要怎么做工资还要计提吗11月份没有社保扣掉那发工资的时候怎么算以前一直没有做账的现在想要改正确
37	老师，这个记2是指记账凭证2号凭证，那这个2241啊其他应付款代表什么？
38	老师您好，我想请问下，我们一家合伙企业的A股东把自己的股份转让给B股东溢价转让，请问这个要交个税不，是按照财产转让所得交税吗。个税是由谁代扣代缴
39	老师公司车间采购消毒剂计入什么科目和二级科目呢？
40	老师，这道题看了答案之后，我发现，他的手续费并没有进当期损益，还有一个递延收益600我不明白；待处理财产损益还有个20也不明白
41	请问：建筑劳务公司的成本项是什么？谢谢！！
42	你好！老师，我们筹建期，是一期，有安评费，环评费，技术服务费是1期和2期的，但2期不知道什么时候建，也有可能不建，我把这些费用放在管理费用——开办费，可以吗？
43	员工开发票放错发票纸了，现在联系客人追回发票，客人说发票不见了，又要让我们再来一张给他，咋办小规模
44	网银收到拉卡拉0.01元怎么做账？
45	老板想好查厂家的单价，要求进货单归类一起放，我记账不能这样放，怎么办？老板说有时候想查厂家的进货价
46	老师我想问一下，工装之类的劳保用品一般放在什么科目里呀
47	老师，软件开发普票税率是6%吗？
48	那我要怎么办，作废上一张不行吗
49	你好，公司的帐20017年8月之前税都是代账公司报，所得税4-6月代账公司报盈利2万多，交了几百元的税钱代账公司都没做账，我接回来之后，我做账我做了4-6月报表盈利了20万，这样要紧吗？但是账务做到9月后，为了少交所得税做了盈利3万多，7-9月是亏损的因为9月结转了所有的工程材料和劳务成本，4-6月盈利的有收入的是卖产品的收入，公司没有相应的成本票也没费用票来抵导致4-6月盈利20万，但是申报4-6月所得税才报盈利两万多点，我这样我有什么责任风险吗或则税务上有什么风险吗
